last,first,pos,num,comb,takeaways,oz_take,nz_take,dz_take,p1_take,p2_take,p3_take,ot_take,5v5_take,ev_take,pp_take,sh_take
MASON,STEVE,G,35,STEVE MASON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O'BRIEN,JIM,C,36,JIM O'BRIEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZUCCARELLO,MATS,C,36,MATS ZUCCARELLO,59.0,26.0,15.0,18.0,19.0,21.0,19.0,0.0,52.0,56.0,3.0,0.0
BROWN,PATRICK,C,36,PATRICK BROWN,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
RINALDO,ZAC,C,36,ZAC RINALDO,8.0,4.0,2.0,2.0,4.0,0.0,4.0,0.0,8.0,8.0,0.0,0.0
LERNOUT,BRETT,D,36,BRETT LERNOUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORRISSEY,JOSHUA,D,36,JOSHUA MORRISSEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALIOTTA,MICHAEL,D,36,MICHAEL PALIOTTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRINGTON,SCOTT,D,36,SCOTT HARRINGTON,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
GIBSON,JOHN,G,36,JOHN GIBSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOULTON,ERIC,L,36,ERIC BOULTON,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JOKINEN,JUSSI,L,36,JUSSI JOKINEN,31.0,12.0,10.0,9.0,8.0,10.0,11.0,2.0,20.0,25.0,1.0,5.0
KERANEN,MICHAEL,L,36,MICHAEL KERANEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
